Time,Lat,Lon
4/3/2014 22:32:00,40.774,-73.8725
4/3/2014 22:58:00,40.7685,-73.8624
4/3/2014 23:07:00,40.7685,-73.8624
4/4/2014 6:18:00,40.7687,-73.8674
4/4/2014 7:18:00,40.7702,-73.8648
4/4/2014 7:59:00,40.773,-73.886
4/4/2014 9:08:00,40.7711,-73.8661
4/4/2014 10:12:00,40.7739,-73.8726
4/4/2014 10:56:00,40.7686,-73.8626
4/4/2014 12:53:00,40.7741,-73.8723
4/4/2014 13:28:00,40.7686,-73.8626
4/4/2014 13:42:00,40.7685,-73.8625
4/4/2014 13:46:00,40.7712,-73.866
4/4/2014 13:55:00,40.774,-73.8723
4/4/2014 14:24:00,40.7684,-73.8624
4/4/2014 14:31:00,40.7744,-73.873
4/4/2014 15:47:00,40.7741,-73.8721
4/4/2014 15:51:00,40.7711,-73.8661
4/4/2014 16:00:00,40.774,-73.8715
4/4/2014 16:56:00,40.7739,-73.8728
4/4/2014 16:59:00,40.774,-73.8717
4/4/2014 17:09:00,40.7687,-73.8622
4/4/2014 17:27:00,40.8596,-73.8856
4/4/2014 17:40:00,40.7682,-73.862
4/4/2014 18:09:00,40.771,-73.866
4/4/2014 18:30:00,40.7686,-73.8622
4/4/2014 19:16:00,40.7743,-73.8728
4/4/2014 19:37:00,40.7741,-73.8727
4/4/2014 19:51:00,40.7732,-73.8856
4/4/2014 20:36:00,40.7738,-73.8726
4/4/2014 21:03:00,40.7741,-73.8727
4/4/2014 22:02:00,40.7741,-73.8726
4/4/2014 23:02:00,40.7739,-73.8717
4/4/2014 23:03:00,40.774,-73.8729
4/5/2014 9:42:00,40.7681,-73.8619
4/5/2014 10:08:00,40.7731,-73.8855
4/5/2014 12:23:00,40.7732,-73.8856
4/5/2014 12:32:00,40.7685,-73.8624
4/5/2014 12:51:00,40.7685,-73.8626
4/5/2014 14:33:00,40.774,-73.8728
4/5/2014 15:34:00,40.8518,-73.8822
4/5/2014 16:31:00,40.7699,-73.8792
4/5/2014 16:47:00,40.7705,-73.8653
4/5/2014 17:34:00,40.7741,-73.8728
4/5/2014 17:37:00,40.7743,-73.8732
4/5/2014 22:29:00,40.7645,-73.8718
4/6/2014 10:22:00,40.7741,-73.8725
4/6/2014 11:34:00,40.7709,-73.8659
4/6/2014 12:21:00,40.7684,-73.8625
4/6/2014 13:17:00,40.771,-73.8645
4/6/2014 13:18:00,40.7743,-73.8725
4/6/2014 13:46:00,40.7683,-73.8622
4/6/2014 14:13:00,40.7685,-73.8625
4/6/2014 14:15:00,40.7699,-73.8644
4/6/2014 14:42:00,40.7684,-73.8623
4/6/2014 15:33:00,40.7742,-73.8727
4/6/2014 15:53:00,40.7704,-73.8648
4/6/2014 15:57:00,40.7702,-73.8642
4/6/2014 16:02:00,40.7689,-73.8626
4/6/2014 16:11:00,40.7706,-73.8655
